dias;tesouroUS;eurodolar;prata ;euroyen;ouro;libra;eurolibra;aluminio;gas;microouro;cobre;dolaraustralia
160;-0.010293;0;0.003084;0.007273;0.006186;0.009468;-0.002816;0.006149;-0.002996;0.006186;0.015488;0.010074
161;-0.001939;0.00005;0.009169;0.000249;0.008766;0.004008;0.000609;-0.005798;-0.016226;0.008766;0.001695;0.002602
162;0.005298;0;-0.021772;-0.000249;-0.003555;-0.007985;0.00332;-0.011822;-0.024435;-0.003555;-0.003571;-0.009804
163;0.001933;0.00005;0.012742;-0.001328;-0.002095;-0.001127;-0.002813;-0.002552;-0.07201;-0.002095;0.004527;0.000728
164;0.00491;0.00015;0.007829;0.000831;0.005902;-0.005318;0.00636;0.016152;0.008772;0.005902;0.003568;-0.001164
165;-0.000349;0.00015;-0.002386;0.005397;0.001298;-0.004699;0.005386;0.005823;0.143144;0.004908;0.002807;-0.000583
166;-0.002618;0;0.031201;0.002478;0.010255;0.008709;-0.008691;0.012361;0.024576;0.010835;0.012689;0.005393
167;-0.00245;-0.0002;-0.022005;-0.003543;-0.011043;0.006375;-0.005459;0.001391;-0.045688;-0.011441;0.00129;0.002464
168;0.000877;0.0002;0.006121;-0.000579;0.006091;-0.000802;-0.000776;-0.001235;0.037702;0.005674;0.006073;0.000578
169;-0.001753;-0.00005;0.014251;0.005046;0.002522;0.002969;0.004772;0.000309;0.055363;0.001955;0.01189;0.008238
170;0.005795;0.00005;0.006701;-0.000494;0.008778;0.0044;-0.007013;-0.005253;0.025137;0.009144;0.007773;-0.00258
171;-0.000349;0.00005;0.024318;0.0014;0.006263;0.005496;-0.001112;0.020345;-0.027719;0.005912;0.009686;0.003593
172;0.008034;0.0001;-0.010429;-0.003454;-0.008978;-0.000158;-0.00334;-0.00411;-0.024671;-0.009228;0.004797;-0.002434
173;-0.003119;-0.0002;0.005349;-0.002393;-0.000556;0.000555;-0.000335;0.011463;0.014615;-0.001053;0.020863;-0.002728
174;-0.001043;0;0.038245;0.008024;0.007118;0.000238;0.005197;-0.000453;-0.036565;0.006771;0.019051;0.005614
175;0.003653;0.0001;-0.01309;0.002954;-0.000221;-0.0057;0.00945;-0.009826;0.004025;-0.000386;-0.008838;-0.00229
176;-0.00312;-0.0001;0.01203;-0.001145;0.000442;0.00207;-0.001046;-0.009924;0.018328;0.000221;-0.015604;0.004448
177;0.002782;0.00005;-0.00955;0.001393;-0.007011;-0.00294;0.000441;0.005243;-0.030934;-0.007443;0.0054;-0.004571
178;-0.002774;-0.00005;0.009642;0.001227;0.005337;0.001913;0.003251;0.001381;-0.002902;0.005388;0.00052;0.004735
179;0.001565;0;0.022301;0.003595;0.004203;0.007556;-0.007195;0.002145;-0.04482;0.004088;0.00381;0.001571
180;0.001562;0.0001;0.068227;0.002849;0.014593;0.007342;0.000443;0.011617;0.020719;0.014581;0.014663;0.018965
181;0.001907;0.00005;0.073778;0.007712;0.011778;-0.001646;0.004977;-0.001662;0.003582;0.011497;-0.011051;-0.00056
182;0.002595;0;-0.005978;-0.001369;0.013411;0.000471;0.002916;0.005751;0.061868;0.013351;0.005501;-0.004621
